2026-02-02 09:23:02,NSE:BANKNIFTY26FEB58300CE,BUY,1165.6,35,TARGET
2026-02-03 09:20:51,NSE:BANKNIFTY26FEB60000PE,BUY,726.7,35,SL
2026-02-04 09:45:18,NSE:BANKNIFTY26FEB60200CE,BUY,826.0,35,TARGET
2026-02-05 10:21:57,NSE:BANKNIFTY26FEB60200PE,BUY,592.9,35,SL
2026-02-06 09:38:14,NSE:BANKNIFTY26FEB60100CE,BUY,671.9,35,SL
2026-02-09 10:28:30,NSE:BANKNIFTY26FEB60900CE,BUY,432.85,35,SL
2026-02-10 11:37:21,NSE:BANKNIFTY26FEB60800CE,BUY,485.6,35,SL
2026-02-11 09:40:05,NSE:BANKNIFTY26FEB60500PE,BUY,435.1,35,TARGET
2026-02-12 10:14:07,NSE:BANKNIFTY26FEB60800CE,BUY,504.0,35,TARGET
2026-02-13 10:15:05,NSE:BANKNIFTY26FEB60400PE,BUY,405.15,35,TARGET
2026-02-18 09:56:04,NSE:BANKNIFTY26FEB61300CE,BUY,273.9,35,SL
2026-02-23 09:26:46,NSE:BANKNIFTY26FEB61300CE,BUY,351.3,35,TARGET
2026-02-25 09:53:41,NSE:BANKNIFTY26MAR61300CE,BUY,986.3,35,SL
2026-02-26 09:36:51,NSE:BANKNIFTY26MAR61100PE,BUY,662.0,35,SL
2026-02-27 09:36:32,NSE:BANKNIFTY26MAR60900PE,BUY,709.0,35,TARGET
2026-03-02 09:28:55,NSE:BANKNIFTY26MAR60100CE,BUY,1193.0,35,TARGET
2026-03-05 14:24:53,NSE:BANKNIFTY26MAR58800PE,BUY,901.25,35,SL
2026-03-06 09:35:06,NSE:BANKNIFTY26MAR58500PE,BUY,899.0,35,TARGET
2026-03-09 10:43:50,NSE:BANKNIFTY26MAR55500PE,BUY,1437.3,35,TARGET
2026-03-12 09:51:50,NSE:BANKNIFTY26MAR55100CE,BUY,1365.0,35,TARGET
2026-03-12 14:45:41,NSE:BANKNIFTY26MAR55100CE,BUY,1385.8,35,TARGET
2026-03-13 09:46:15,NSE:BANKNIFTY26MAR54500PE,BUY,1155.0,35,TARGET
2026-03-16 09:42:31,NSE:BANKNIFTY26MAR53900CE,BUY,1420.0,35,TARGET
2026-03-17 09:37:03,NSE:BANKNIFTY26MAR54200PE,BUY,919.6,35,SL
2026-03-19 09:22:25,NSE:BANKNIFTY26MAR53400PE,BUY,678.55,35,SL
2026-03-20 09:32:53,NSE:BANKNIFTY26MAR54200CE,BUY,1093.25,35,TARGET
2026-03-23 09:50:34,NSE:BANKNIFTY26MAR52100PE,BUY,1049.1,35,TARGET
2026-03-24 09:31:22,NSE:BANKNIFTY26MAR52500CE,BUY,942.4,35,TARGET
2026-03-25 09:25:25,NSE:BANKNIFTY26MAR53500CE,BUY,801.0,35,TARGET
2026-03-27 09:30:12,NSE:BANKNIFTY26MAR52800PE,BUY,644.15,35,TARGET
2026-03-30 09:28:20,NSE:BANKNIFTY26MAR51000PE,BUY,297.45,35,SL
2026-04-01 10:25:06,NSE:BANKNIFTY26APR51400PE,BUY,1551.3,35,TARGET
